wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
Rio Tinto (corporation),https://en.wikipedia.org/wiki/Rio_Tinto_(corporation),Dual-listed company,ASX: RIOLSE: RIONYSE: RIOFTSE 100 Index componentS&P/ASX 200 component,29 March 1873; 152 years ago (1873-03-29),"London, EnglandMelbourne, Australia",,Worldwide,Dominic Barton(chairman)Simon Trott(chief executive),,US$53.658 billion (2024),US$16.491 billion (2024),US$11.574 billion (2024),US$102.786 billion (2024),US$57.965 billion (2024),"60,000 (2024)",,www.riotinto.com,,,"Iron ore, bauxite, alumina, aluminium, copper, molybdenum, gold, diamonds, uranium, titanium dioxide, borates, salt, talc",
Southern Copper Corporation,https://en.wikipedia.org/wiki/Southern_Copper_Corporation,Public company,BVL: SCCONYSE: SCCORussell 1000 Component,1952; 73 years ago (1952),"Phoenix, Arizona",,,Oscar González Rocha (CEO),,US$11.433 billion (2024),,US$3.376 billion (2024),US$18.713 billion (2024),US$9.238 billion (2024),"16,133 (2024)",,www.southerncoppercorp.com,,,Copper Molybdenum Zinc Silver,
"Trex Company, Inc.","https://en.wikipedia.org/wiki/Trex_Company,_Inc.",Public company,NYSE: TREXS&P 400 component,August 1996; 29 years ago (1996-08),"Winchester, Virginia, U.S.",,"United States, International",Bryan H. Fairbanks (president and CEO) James E. Cline (Chairman of the Board),,US$ 1.2 billion (2024),US$ 305 million (2024),US$ 226 million (2024),US$ 1.3 million (2024),,"1,838 (December 31, 2024)",,trex.com,,,"decking, railing, fascia, cladding, fencing, fasteners, outdoor lighting",
Vale S.A.,https://en.wikipedia.org/wiki/Vale_S.A.,Public,B3: VALE3NYSE: VALEBMAD: XVALOIbovespa Component,1942,"Rio de Janeiro, Brazil",,Worldwide,"Gustavo Pimenta, CEOMurilo Muller, CFO",,US$ 38.1 billion (2024),,US$6.2 billion (2024),,,"213,413 (2021)","Vale CanadaVale FertilizantesCaemi (98,3%)Samarco (50%)VLI Multimodal S.A. (37,6%)MRS Logística (10,9%)Companhia Siderúrgica do Pecém (50%)",vale.com,,,Iron oreIron ore pelletsManganese oreFerroalloysCopperNickelCoalFertilizers,
"Valhi, Inc.","https://en.wikipedia.org/wiki/Valhi,_Inc.",Public,NYSE: VHIRussell 2000 Index component,1987,"Dallas, Texas, U.S.",,,"Robert D. Graham, Vice Chairman of the Board, President and CEO",,US$2.296 Billion (FY 2021),US$ 257.8 Million (FY 2021),US$ 127.2 Million (FY 2021),US$3.005 Billion (FY 2021),US$1.158 Billion (FY 2021),"2,847",,Valhi.net,,,"titanium dioxide pigments (TiO2), security products, recreational marine products, real estate, water distribution, insurance",
West Fraser Timber,https://en.wikipedia.org/wiki/West_Fraser_Timber,Public,TSX: WFGNYSE: WFG,"1955; 70 years ago (1955) in Quesnel, British Columbia","Vancouver, British Columbia, Canada",,,"Sean McLaren, President & CEOHenry H. Ketcham, Chairman",,US$6.454 billion (2023),US$−284 millions (2023),US$−167 millions (2023),US$9.415 billion (2023),US$7.223 billion (2023),"10,800 (2023)",,www.westfraser.com,,,Diversified wood-based building materials,
AquaBounty Technologies,https://en.wikipedia.org/wiki/AquaBounty_Technologies,,Nasdaq: AQBRussell Microcap Index component,1991,"Maynard, Massachusetts",,,David Frank (Interim CEO),,,,,,,,,aquabounty.com,,,,
Beyond Meat,https://en.wikipedia.org/wiki/Beyond_Meat,Public,Nasdaq: BYNDRussell 2000 component,2009; 16 years ago (2009),"El Segundo, California, U.S.",,,,,US$326 million (2024),,-US$160 million (2024),US$678 million (2024),-US$601 million (2024),754 full-time employees and 54 contract workers (2024),,beyondmeat.com,Ethan Brown,,,
Cal-Maine,https://en.wikipedia.org/wiki/Cal-Maine,Public,Nasdaq: CALMS&P 600 component,1957; 68 years ago (1957),"Ridgeland, Mississippi, U.S.",,,"Sherman Miller, CEO",,US$1.35 billion (2020),,,US$1.21 billion (2020),US$1.01 billion (2020),"3,461 (May 30, 2020)",,calmainefoods.com,,,,
Coca-Cola Europacific Partners,https://en.wikipedia.org/wiki/Coca-Cola_Europacific_Partners,Public,LSE: CCEP FTSE 100 component Nasdaq: CCEP Nasdaq-100 component,28 May 2016; 9 years ago (2016-05-28) (as Coca-Cola European Partners)10 May 2021; 4 years ago (2021-05-10) (as Coca-Cola Europacific Partners),"Uxbridge, England",42 bottling plants,EuropeAustraliaAsia-PacificIndonesiaPhilippines,Sol Daurella (chairman)Damian Gammell (CEO),,€20.438 billion (2024),€2.132 billion (2024),€1.444 billion (2024),€31.1 billion (2024),€8.489 billion (2024),"41,000 (2024)",,www.cocacolaep.com,,,"Regular, low- and no-calorie beverages including energy drinks, still and sparkling waters, juices and juice drinks, sports drinks, and ready-to-drink teas",GB00BDCPN049
Celsius Holdings,https://en.wikipedia.org/wiki/Celsius_Holdings,Public,Nasdaq: CELHS&P 400 component,2004; 21 years ago (2004),"Boca Raton, Florida, U.S.",,,John Fieldly(President & CEO),,US$1.32 billion (2023),US$233 million (2023),US$227 million (2023),US$1.54 billion (2023),,765 (2023),,celsius.com,,"Vector Ventures, Inc.",,US15118V2079
Vita Coco,https://en.wikipedia.org/wiki/Vita_Coco,Public,Nasdaq: COCO,2004; 21 years ago (2004),"250 Park Avenue South, New York City, NY 10003",,,,,US$427.79M (2022),,,,,,,vitacoco.com,Michael KirbanIra Liran,,,
Coca-Cola,https://en.wikipedia.org/wiki/Coca-Cola,Cola,,,,,,,,,,,,,,,coca-cola.com,,,,
Campbell's,https://en.wikipedia.org/wiki/Campbell%27s,Public,Nasdaq: CPB S&P 500 component NYSE: CPB (until 2024),1869; 156 years ago (1869),"Camden, New Jersey, U.S.",,,Mick Beekhuizen (president and CEO)Keith R. McLoughlin (chairman),,US$10.3 billion (2025),US$1.12 billion (2025),US$602 million (2025),US$14.9 billion (2025),US$3.90 billion (2025),"13,700 (2025)",Pepperidge FarmPace FoodsSnyder's-LancePacific FoodsSovos Brands,campbells.com,Joseph A. Campbell,Anderson & Campbell (1869–1876)Joseph A. Campbell Preserve Company (1876–1896)Joseph Campbell & Co. (1896–1922)Campbell Soup Company (1922–2024),Campbell'sPepperidge FarmPaceV8,
Krispy Kreme,https://en.wikipedia.org/wiki/Krispy_Kreme,Public,Nasdaq: DNUTRussell 2000 component,"July 13, 1937; 88 years ago (1937-07-13)","Charlotte, North Carolina, U.S.","1,400",Worldwide,,,US$1.627 billion (2023),US$-8.725 million (2024),US$3.095 million (2024),US$3.072 billion (2024),US$1.164 billion (2024),"21,000 (December 29, 2024)",,krispykreme.com,Vernon Rudolph,,Baked goodsFrozen beveragesHot beveragesIced beveragesSoft drinks,
Farmmi,https://en.wikipedia.org/wiki/Farmmi,Public,Nasdaq: FAMI,2003; 22 years ago (2003),"Lishui, China",,Worldwide,Yefang Zhang (CEO),,US$ 18 million (1st half 2021),,"US$ 1,4 million (1st half 2021)",,,,,"farmmi.com.cn , farmmi88.com",,,Mushrooms,
Farmer Brothers,https://en.wikipedia.org/wiki/Farmer_Brothers,Public,Nasdaq: FARMRussell 2000 Component,California (1912; 113 years ago (1912)),"Irving, Texas, U.S.",80 (2024 investor presentation),U.S.,"David Pace (chairman of the board)John Moore (president, CEO, director)Vance Fisher (CFO)",,US$500.9 million (FY 2023),,US$ 12.1 million (FY 2014),,,"1,000",,farmerbros.com,Roy E. Farmer,,Coffee • Tea • Spices • Culinary Goods,
National Beverage,https://en.wikipedia.org/wiki/National_Beverage,Public,Nasdaq: FIZZS&P 600 component,"1985; 40 years ago (1985), in Fort Lauderdale, Florida, U.S.","Plantation, Florida, U.S.",,,Nick A. Caporella (chairman & CEO),,"US$1,172.9 million (2023)",,$142.2 million (2023) 12.1% profit margin,,,"1,640 (April 27, 2019)","Big Shot Beverage Co.Everfresh Beverages, Inc.Faygo Beverages, Inc.The Coffee Beanery LTDLaCROIX Beverages, Inc.National Retail Brands, Inc.Shasta Beverages, Inc.",nationalbeverage.com,,,Soft drinks,
Freshpet,https://en.wikipedia.org/wiki/Freshpet,Public,Nasdaq: FRPTRussell 1000 componentS&P 600 component,2006; 19 years ago (2006),"Bedminster, New Jersey, U.S.",,,Billy Cyr (CEO),,US$318.79 million (2020),,US$-3.19 million (2020),,,591,,freshpet.com,,,Refrigerated pet food,
Genasys,https://en.wikipedia.org/wiki/Genasys,Public,Nasdaq: GNSS,"1980; 45 years ago (1980) in Utah, U.S.","San Diego, California, U.S.",,Worldwide,Richard S. Danforth (CEO)Cassandra Monteon (CFO)Richard H. Osgood III (chairman),,,,,,,,,genasys.com,Elwood Norris,,Genasys ProtectALERTEVACACOUSTICSCONNECT Long Range Acoustic DevicesLRAD 100XLRAD 450XL-RTLRAD 450XL-MMTLRAD 500X-RTLRAD 950NXTLRAD 1000XiLRAD 1950XLLRAD 2000X,
Grocery Outlet,https://en.wikipedia.org/wiki/Grocery_Outlet,Public,Nasdaq: GOS&P 600 component,"June 11, 1946; 79 years ago (June 11, 1946), in San Francisco, California, U.S.","Emeryville, California, U.S.",480 (May 2024),,Jason Potter (CEO),Discount retailSupermarket,US$3.970 billion (2024),,,,,949 (2024),United Grocery Outlet,groceryoutlet.com,James Read,Cannery Sales (1946–1970)Canned Foods (1970–1987),"Bakery, dairy, deli meats, frozen foods, general grocery, meat, produce, snacks, beer & wine",
Hain Celestial Group,https://en.wikipedia.org/wiki/Hain_Celestial_Group,Public,Nasdaq: HAIN,1993; 32 years ago (1993),"Hoboken, New Jersey, U.S.",Products sold in 75 countries worldwide,North AmericaEuropeIndia,Wendy Davidson (CEO)Lee Boyce (CFO),,US$1.80 billion (2023),,,US$2.26 billion (2023),,"3,087 (June 30, 2021)",Hain Daniels,hain.com,,,,
Ingles,https://en.wikipedia.org/wiki/Ingles,Public,Nasdaq: IMKTA (Class A),"1963; 62 years ago (1963), in Asheville, North Carolina, U.S.","Black Mountain, North Carolina, U.S.",198,,"Robert P. Ingle II (chairman of the board)James W. Lanning (president, CEO) Brian S. Worley (vice president) Laura Ingle Sharp (director)",,US$5 billion (2021),US$350 million (2017),US$250 million (2021),US$2 billion (2021),US$983 million (2021),"26,000 (2021)","Milkco, Inc. Sav-mor foods",ingles-markets.com,Robert P. Ingle,Ingles Corner Shop,"Bakery, delicatessen, seafood, meat, produce, snacks, drinks, frozen foods, health & beauty, general merchandise, pharmacy",
J&J Snack Foods,https://en.wikipedia.org/wiki/J%26J_Snack_Foods,Public,Nasdaq: JJSFS&P 600 Component,1971; 54 years ago (1971),"Mount Laurel, New Jersey, U.S.",,,Gerald B. Shreiber (chairman of the board)Dan Fachner (CEO)Shawn Munsell (CFO)Lynwood Mallard (CMO),,$1.57 billion USD (2024),,$79.2 million USD (2017),,,"4,200",,jjsnack.com,Gerald B. Shreiber,,,
UCC Ueshima Coffee Co.,https://en.wikipedia.org/wiki/UCC_Ueshima_Coffee_Co.,Kabushiki Kaisha,,1933; 92 years ago (1933),"7-7-7 Minatojima-Nakamachi, Chuo-ku, Kobe, Hyōgo, Japan",,,,,¥138.5 billion (2015),,,,,799 (2015),,www.ucc.jp,Tadao Ueshima,,,
Keurig Dr Pepper,https://en.wikipedia.org/wiki/Keurig_Dr_Pepper,Public,Nasdaq: KDPNasdaq-100 componentS&P 500 component,"1979; 46 years ago (1979) (as Green Mountain Coffee Roasters) in Waitsfield, Vermont, U.S.","Burlington, Massachusetts, U.S.Frisco, Texas, U.S.",,,Tim Cofer (CEO)Robert Gamgort (executive chairman),,US$15.3 billion (2024),US$2.59 billion (2024),US$1.44 billion (2024),US$53.4 billion (2024),US$24.2 billion (2024),"29,400 (2024)",,keurigdrpepper.com,Robert Stiller,Green Mountain Coffee Roasters (1979–2014) Keurig Green Mountain (2014–2018),,US49271VAP58
Kraft Heinz,https://en.wikipedia.org/wiki/Kraft_Heinz,Public,Nasdaq: KHCNasdaq-100 componentS&P 500 component,"July 2, 2015; 10 years ago (2015-07-02)","Chicago, Illinois and Pittsburgh, Pennsylvania, United States",,Worldwide,Miguel Patricio (chairman) John T. Cahill (vice chairman) Carlos Abrams-Rivera (CEO) Andre Maciel (CFO),,US$25.8 billion (2024),US$1.68 billion (2024),US$2.74 billion (2024),US$88.3 billion (2024),US$49.2 billion (2024),"c. 36,000 (2024)",,kraftheinzcompany.com,,,BeveragesConvenience foodsSnack foodsFoodservice,
Koss Corporation,https://en.wikipedia.org/wiki/Koss_Corporation,Public,Nasdaq: KOSS,1953; 72 years ago (1953),"Milwaukee, Wisconsin",,Worldwide,,,,,,,,31 (2023),,koss.com,,,,
Limoneira,https://en.wikipedia.org/wiki/Limoneira,Public limited,Nasdaq: LMNRRussell 2000 Component,1893,"1141 Cummings Rd, Santa Paula, CA 93060,, United States",,,"Harold Edwards (President, CEO and Director)","Agribusiness, rental operations and real estate development",,,,"$362,510,483",,,,limoneira.com,Nathan W. Blanchard and Wallace L. Hardison,,,US5327461043
Lifeway Foods,https://en.wikipedia.org/wiki/Lifeway_Foods,Public,Nasdaq: LWAYRussell Microcap Index component,"Morton Grove, Illinois (1986 (1986))","Morton Grove, Illinois, United States",,,Julie Smolyansky (CEO) Michael Smolyansky (Founder),,US$186.8 million (2024),US$13.852 million (2024),US$9.025 million (2024),US$90.5 million (2024),US$71.9 million (2024),,,www.lifeway.net,Michael Smolyansky,,Kefir,
Mondelez International,https://en.wikipedia.org/wiki/Mondelez_International,Public,Nasdaq: MDLZ (Class A)Nasdaq-100 componentS&P 100 componentS&P 500 component,"December 10, 1923; 101 years ago (1923-12-10) (National Dairy Foods Co.)October 1, 2012; 13 years ago (2012-10-01) (Mondelez)","Chicago, Illinois, U.S.",,Worldwide,Dirk Van de Put (chairman and CEO),,US$36.4 billion (2024),US$6.35 billion (2024),US$4.61 billion (2024),US$68.5 billion (2024),US$26.9 billion (2024),"90,000 (2024)",Cadbury Clif Bar & Company Nabisco,mondelezinternational.com,Edward E. RieckThomas H. McInnerney,,Confectionery,US6092071058
Megan Schutt,https://en.wikipedia.org/wiki/Megan_Schutt,,,,,,,,,,,,,,,,,,,,
MGP Ingredients,https://en.wikipedia.org/wiki/MGP_Ingredients,Public,Nasdaq: MGPIS&P 600 component,1941; 84 years ago (1941),"Atchison, Kansas, U.S.",,,,,,,,,,,"Luxco, MGPI Processing, Inc.",mgpingredients.com,"Cloud L. Cray, Sr.",,,
Monster Beverage,https://en.wikipedia.org/wiki/Monster_Beverage,Public,Nasdaq: MNSTNasdaq-100 componentS&P 500 component,"1935; 90 years ago (1935), in Southern California (as Hansen's)","Corona, California, U.S.",,,Rodney Sacks (chairman and co-CEO)Hilton Schlosberg (vice-chairman and co-CEO),,US$7.49 billion (2024),US$1.93 billion (2024),US$1.51 billion (2024),US$7.72 billion (2024),US$5.96 billion (2024),"6,558 (2024)",,monsterbevcorp.com,Hubert Hansen,Hansen Natural Corporation (1935 - 2012),Energy drinks,
La Maison Cubiste,https://en.wikipedia.org/wiki/La_Maison_Cubiste,,,,,,,,,,,,,,,,,,,,
T. Marzetti Company,https://en.wikipedia.org/wiki/T._Marzetti_Company,Subsidiary of Lancaster Colony Corporation,Nasdaq: LANC,1896,"380 Polaris Parkway, Westerville, OH 43082",,,"Jay Gerlach, Chairman Dave Ciesinski, CEO",,"US$1,676 million (2022)",US$0356 million (2022),,,,2700,,http://www.tmarzetticompany.com/,,,Marzetti New York Brand Sister Schubert's Reames Chatham Village Cardini's Girard's Romanoff Pfeiffer Amish Kitchens Inn Maid Angelic BakehouseFlatout,
PepsiCo,https://en.wikipedia.org/wiki/PepsiCo,Public,Nasdaq: PEPNasdaq-100 componentS&P 100 componentS&P 500 component,"August 28, 1898; 127 years ago (1898-08-28)New Bern, North Carolina, U.S. (as the Pepsi-Cola Company)June 8, 1965; 60 years ago (1965-06-08)(as PepsiCo)","Harrison, New York, U.S.",,Worldwide,Ramon Laguarta (chairman & CEO)Jamie Caulfield (EVP and CFO),,US$91.85 billion (2024),US$12.89 billion (2024),US$9.578 billion (2024),US$99.47 billion (2024),US$18.04 billion (2024),"318,000 (2024)",List of subsidiaries,pepsico.com,Caleb Bradham (for the Pepsi-Cola Company branch),,,
PetMed Express,https://en.wikipedia.org/wiki/PetMed_Express,Public,Nasdaq: PETS,1996; 29 years ago (1996),"Delray Beach, Florida, U.S.",,,Sandra Campos (CEO),,US$284.1 million (2020)US$283.4 million (2019),,,,,,,1800petmeds.com,Marc Puleo,,Animal drugs,
Woolworths Group (Australia),https://en.wikipedia.org/wiki/Woolworths_Group_(Australia),Public,ASX: WOW,22 September 1924; 101 years ago (1924-09-22),"Bella Vista, New South Wales, Australia","1,824 stores (2025)","Australia, New Zealand",Amanda Bardwell (CEO)Scott Perkins (Chairman),,A$67.92 billion (2024),A$1.62 billion (2024),A$117 million (2024),A$33.94 billion (2024),A$5.57 billion (2024),"201,000 (2024)",List of subsidiaries,www.woolworthsgroup.com.au,Percy ChristmasStanley ChattertonCecil Scott WaineGeorge CreedErnest Williams,,,
Pilgrim's Pride,https://en.wikipedia.org/wiki/Pilgrim%27s_Pride,Public,Nasdaq: PPCS&P 400 component,1946; 79 years ago (1946),"Greeley, Colorado, U.S.",,,Fabio Sandri (CEO),,US$10.7 billion (2017),,US$718.1 million (2017),,,"35,700",Moy Park,pilgrims.com,"Lonnie ""Bo"" Pilgrim",,Food and beverages,
Arcadia Biosciences,https://en.wikipedia.org/wiki/Arcadia_Biosciences,Public,Nasdaq: RKDA,2002,"Davis, California, United States",,Worldwide,Matthew Plavan (Chief Executive Officer),,US$4.03 million(FY DEC 31 2017),,,,,42,,arcadiabio.com,,,GoodWheat™,
Rocky Mountain Chocolate,https://en.wikipedia.org/wiki/Rocky_Mountain_Chocolate,Public,Nasdaq: RMCFRussell Microcap Index component,1981; 44 years ago (1981),"Durango, Colorado, United States",323 (2022),,Robert J. Sarlls (CEO)Allen Arroyo (CFO)Jeff Geygan (chair),,"32,342,579 United States dollar (2022)",,,,,217 (2022),,rmcf.com,,,,
Rythm Syndicate (album),https://en.wikipedia.org/wiki/Rythm_Syndicate_(album),,,,,,,,,,,,,,,,,,,,
Seneca Foods,https://en.wikipedia.org/wiki/Seneca_Foods,Public,Nasdaq: SENEA (Class A)Nasdaq: SENEB (Class B)Russell 2000 Component (SENEA),1949; 76 years ago (1949),"Fairport, New York, USA",,,Paul L. Palmby (president and CEO),,"$1,245,681,000 US (2017)","$29,121,000 US (2017)","$12,613,000 US (2017)",,,"3,200 full-time, 9,700 seasonal (2009)",,senecafoods.com,,,"Canned and frozen fruits and vegetables, snacks",
Smithfield Foods,https://en.wikipedia.org/wiki/Smithfield_Foods,Public,Nasdaq: SFD,"1936; 89 years ago (1936), as Smithfield Packing Company, Smithfield, Virginia, United States","200 Commerce Street, Smithfield, Virginia",,Worldwide,Shane Smith (CEO),,US$14.4 billion (2015),US$793.8 million (2015),US$452.3 million (2015),US$9.9 billion (2015),US$4.8 billion (2015),"50,200 (2016)",,www.smithfieldfoods.com,"Joseph W. Luter, Sr.Joseph W. Luter, Jr.",,Meat processingPork products,
Whole Foods Market,https://en.wikipedia.org/wiki/Whole_Foods_Market,Subsidiary,Nasdaq: WFM,"September 20, 1980; 45 years ago (1980-09-20)","Austin, Texas, U.S.",500+,,John B. Elstrott (chairman)Jason Buechel (CEO),CateringOnline shopping and home delivery,US$17 billion (2021),,,,,"105,000 (2023)",365 by Whole Foods Market,wholefoodsmarket.com,John MackeyRenee Hardy-LawsonMark SkilesCraig Weller,,Foodpharmacyflowersalcoholgeneral merchandise,
Hormel Foods,https://en.wikipedia.org/wiki/Hormel_Foods,Public,NYSE: HRLS&P 500 component,1891; 134 years ago (1891),"Austin, Minnesota, U.S.",,Worldwide,"James Snee (chairman, president and CEO)",,US$11.92 billion (2024),US$1.068 billion (2024),US$805 million (2024),US$13.43 billion (2024),US$7.993 billion (2024),"20,000 (2024)","Applegate Farms, LLC Beijing Hormel Co. Ltd. Bruke Marketing Corporation Cidade do Sol Columbus Manufacturing Inc. Dan's Prize Inc. Fontanini Foods Hormel Foods Australia Pty. Ltd. Hormel Foods Canada Jennie-O Justin's, LLC Megamex Foods, LLC[a] Okinawa Hormel Ltd. The Purefoods-Hormel Company Inc.[b] Sadler's Smokehouse",hormelfoods.com,George A. Hormel,George A. Hormel & Company (1891–1993),"Deli meat, ethnic foods, pantry foods, Spam",
Sonos,https://en.wikipedia.org/wiki/Sonos,Public,Nasdaq: SONOS&P 600 component,2002; 23 years ago (2002),"Santa Barbara, California, U.S.",12 offices3 retail stores,Worldwide,Julius Genachowski (chairman)Tom Conrad (CEO)Nicholas Millington (CINO),,US$1.44 billion (2025),US$−50 million (2025),US$−61 million (2025),US$823 million (2025),US$355 million (2025),"1,404 (2025)",,sonos.com,John MacFarlaneCraig ShelburneTom CullenTrung Mai,"Rincon Audio, Inc.(2002–2004)",,
